Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18620538,Becoming a Technical Leader,Gerald M. Weinberg,"Weinberg, Gerald M.",,"=""""","=""""",4,4.09,,Kindle Edition,304,2011,1986,,2020/10/13,,,read,,,,1,,,0,,,,,
53353009,"Polymath: Master Multiple Disciplines, Learn New Skills, Think Flexibly, and Become Extraordinary Autodidact",Peter Hollins,"Hollins, Peter",,"=""""","=""""",0,3.72,PH Learning Inc.,Kindle Edition,194,2020,,,2020/10/26,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
34507927,"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking – for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"Ahrens, Sönke",,"=""""","=""""",4,4.28,,Kindle Edition,178,2017,2017,2020/10/24,2020/10/13,,,read,,,,1,,,0,,,,,
45894068,Mama's Last Hug: Animal Emotions and What They Tell Us about Ourselves,Frans de Waal,"Waal, Frans de",,"=""039335783X""","=""9780393357837""",0,4.17,W. W. Norton  Company,Paperback,352,2020,2018,,2020/10/13,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2020/10/13,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
567610,How to Read a Book: The Classic Guide to Intelligent Reading,Mortimer J. Adler,"Adler, Mortimer J.",Charles Van Doren,"=""""","=""""",0,3.97,"Simon & Schuster, Inc",Paperback,426,1972,1940,,2020/10/13,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345409469""","=""9780345409461""",0,4.26,Ballantine Books,Paperback,459,1997,1996,,2020/10/13,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
61665,Billions & Billions: Thoughts on Life and Death at the Brink of the Millennium,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345379187""","=""9780345379184""",0,4.29,Ballantine Books,Paperback,296,1998,1997,,2020/10/13,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.16,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2020/10/13,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
35356384,How Democracies Die: What History Reveals About Our Future,Steven Levitsky,"Levitsky, Steven",Daniel Ziblatt,"=""1524762938""","=""9781524762933""",0,4.20,Crown Publishing Group (NY),Hardcover,320,2018,2018,,2020/10/13,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
